,Training Score,Testing Score,Variable,Coefficent,Other Variable,Coefficent2,Other Variable2,Coefficent3,y intercept
Hiv/Aids & Schooling & Water,0.8050732508902573,0.8446049563204778,Schooling,-0.6771342331009658,Water,1.1095909618017044,Hiv/Aids,0.1983638285116851,40.63367649662266
Birth Per Woman & Hiv/Aids & Income Composition Of Resources,0.8213040207031035,0.8424557020845082,Birth Per Woman,-2.1386695282447614,Income Composition Of Resources,-0.624330366476733,Hiv/Aids,22.986395978847643,62.07128752536395
Adult Mortality & Income Composition Of Resources & Military,0.7760687026956749,0.836701566076705,Adult Mortality,-0.030401657681105174,Military,32.40676775691207,Income Composition Of Resources,0.2507657045757714,53.14389045652458
Adult Mortality & Income Composition Of Resources & Thinness 5-9 Years,0.7820993700858303,0.8317211103823201,Adult Mortality,-0.02759350532274644,Income Composition Of Resources,30.669311500258377,Thinness 5-9 Years,-0.21849386658684722,55.3375716841848
Adult Mortality & Birth Per Woman & Income Composition Of Resources,0.8217537280686202,0.8267866762728641,Adult Mortality,-0.02571606935825444,Birth Per Woman,-2.043381009676958,Income Composition Of Resources,19.97490259012955,66.68870195602015
Adult Mortality & Income Composition Of Resources & Percentage Expenditure,0.7821880171601687,0.8250853396428094,Adult Mortality,-0.030769332421198774,Income Composition Of Resources,30.888782608912734,Percentage Expenditure,0.00032551531670677036,54.349206980963004
Adult Mortality & Birth Per Woman & Thinness 1-19 Years,0.7777838804183077,0.8237059929057206,Adult Mortality,-0.028799132757015577,Birth Per Woman,-3.1557078538652275,Thinness 1-19 Years,-0.3502327702097614,85.20964791209053
Adult Mortality & Thinness 1-19 Years & Water,0.7825962243890766,0.8200562241933257,Adult Mortality,-0.026990218370857882,Water,-0.3641670470474647,Thinness 1-19 Years,0.25927971008743417,54.17163536009338
Adult Mortality & Gdp & Income Composition Of Resources,0.7831175933487614,0.8165910302197957,Adult Mortality,-0.03138945925768214,Income Composition Of Resources,5.78546672926611e-05,Gdp,29.191457794514815,55.494008663675366
Adult Mortality & Hiv/Aids & Water,0.7931153009535608,0.8164820270131687,Adult Mortality,-0.019360493182228617,Water,-0.41081532090222656,Hiv/Aids,0.2772576188925205,50.52424276282575
Birth Per Woman & Hiv/Aids & Schooling,0.8149499753004389,0.8157049611073868,Birth Per Woman,-2.442128695153167,Schooling,-0.6753808149625762,Hiv/Aids,1.1445014054809601,63.92367395046099
Hiv/Aids & Income Composition Of Resources & Water,0.818225836803434,0.8140595512233393,Income Composition Of Resources,-0.6012719032089402,Water,22.15196763264264,Hiv/Aids,0.16910939756452947,42.294967969705176
Hiv/Aids & Income Composition Of Resources & Thinness 5-9 Years,0.7779102737158319,0.8131402919746333,Income Composition Of Resources,-0.6561938597235897,Thinness 5-9 Years,33.03685157064997,Hiv/Aids,-0.2692737195139401,50.74235339810771
Adult Mortality & Schooling & Under-Five Deaths,0.7282920625767139,0.8129773279329857,Adult Mortality,-0.03440718474306238,Schooling,1.6439253711010813,Under-Five Deaths,-0.0022530739662651733,55.3885838846328
Adult Mortality & Diphtheria & Income Composition Of Resources,0.7832180057005482,0.8123181046808184,Adult Mortality,-0.030795876478583787,Income Composition Of Resources,0.021266561529937444,Diphtheria,30.493852288137216,53.12270191633182
Adult Mortality & Polio & Water,0.7499694586013543,0.8113008627947627,Adult Mortality,-0.028997818454962705,Water,0.013087618922786176,Polio,0.26916213353691126,50.899197229480365
Hiv/Aids & Income Composition Of Resources & Percentage Expenditure,0.7720416318258446,0.8104102242624875,Income Composition Of Resources,-0.6622238411547381,Hiv/Aids,33.54265844501892,Percentage Expenditure,0.0005226948191676684,48.7235095982456
Adult Mortality & Income Composition Of Resources & Thinness 1-19 Years,0.7900349096386637,0.8104051085688994,Adult Mortality,-0.03063576970800789,Income Composition Of Resources,29.10417921218854,Thinness 1-19 Years,-0.20724283123940523,56.8352888216801
Adult Mortality & Total Expenditure & Water,0.7559588777719425,0.809200884736784,Adult Mortality,-0.03008501937234957,Water,0.34013602343711263,Total Expenditure,0.26568848203323775,50.50628778967768
Adult Mortality & Hepatitis B & Income Composition Of Resources,0.7822223938536071,0.8087568630683201,Adult Mortality,-0.03069495085616856,Income Composition Of Resources,0.016492673353353915,Hepatitis B,31.45444408805863,53.05448731081687
Adult Mortality & Birth Per Woman & Bmi,0.7752085492304821,0.8081470207608079,Adult Mortality,-0.03069867409552395,Birth Per Woman,-2.982290637040488,Bmi,0.06316729539057153,81.03114999104815
Adult Mortality & Income Composition Of Resources & Under-Five Deaths,0.787248103695628,0.8077204487006893,Adult Mortality,-0.030588283050368106,Income Composition Of Resources,32.289070081740384,Under-Five Deaths,-0.0031033482117237554,53.83992917651507
Adult Mortality & Birth Per Woman & Thinness 5-9 Years,0.7865945485937419,0.8062913552676498,Adult Mortality,-0.02868002818270716,Birth Per Woman,-3.2160871785921072,Thinness 5-9 Years,-0.32407450218396283,85.33423486627068
Adult Mortality & Income Composition Of Resources & Water,0.8178926003565031,0.8058564856535997,Adult Mortality,-0.026006211716544922,Water,25.434540508733196,Income Composition Of Resources,0.11130598669296532,48.04608153957925
Adult Mortality & Birth Per Woman & Schooling,0.8014014949065578,0.8050715171417138,Adult Mortality,-0.029099247865416036,Birth Per Woman,-2.378867284826809,Schooling,0.8804173154878547,70.52298094182206
Adult Mortality & Income Composition Of Resources & Measles,0.7835708167156545,0.8041903381654686,Adult Mortality,-0.030653190969223906,Income Composition Of Resources,31.906946173360037,Measles,-8.069842127866877e-06,54.02178236751379
Hepatitis B & Hiv/Aids & Income Composition Of Resources,0.7681510450939114,0.7991074356449768,Income Composition Of Resources,0.010733116035066936,Hiv/Aids,-0.6689733212785565,Hepatitis B,36.48560918061119,46.44056499338397
Adult Mortality & Income Composition Of Resources & Total Expenditure,0.788279082205616,0.7978567837632701,Adult Mortality,-0.030917606004305907,Income Composition Of Resources,31.613858425723752,Total Expenditure,0.1577511051528866,53.25096718686849
Alcohol & Birth Per Woman & Hiv/Aids,0.7579880390277011,0.7976986212174288,Birth Per Woman,0.18915611402616317,Hiv/Aids,-3.721689829364039,Alcohol,-0.7141778636276257,80.78645499587739
Birth Per Woman & Hiv/Aids & Population,0.7529120811434404,0.7972407020918887,Birth Per Woman,-4.009338108049885,Population,-0.6856368892114661,Hiv/Aids,-5.4703821472656955e-09,82.68098987454988
